³¯¾¾(Æò±Õ±â¿Â),¹°°¡Áö¼ö,¿Ü±¹ÀÎ ÀÔ±¹ÀÚ ¼ö,°æº¹±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(³»±¹ÀÎ,½ÃÃ»·ü,°èÀý,Ã¢°æ±Ã(ÅÂ±×È½¼ö),Ã¢°æ±Ã(¿µ¾îÅÂ±×),Ã¢°æ±Ã(Áß±¹¾îÅÂ±×),Ã¢°æ±Ã(ÀÏº»¾î¾îÅÂ±×),°æº¹±Ã³ªµéÀÌ(ÅÂ±×È½¼ö),°æº¹±Ã(¿µ¾îÅÂ±×),°æº¹±Ã(Áß±¹¾îÅÂ±×),°æº¹±Ã(ÀÏº»¾îÅÂ±×),Ã¢´ö±Ã(ÅÂ±×È½¼ö),Ã¢´ö±Ã(¿µ¾îÅÂ±×),Ã¢´ö±Ã(Áß±¹¾îÅÂ±×),Ã¢´ö±Ã(ÀÏº»¾îÅÂ±×),´ö¼ö±Ã(À§Ä¡·ÎÅÂ±×È½¼ö),´ö¼ö±Ã(¿µ¾îÅÂ±×),´ö¼ö±Ã(Áß±¹¾îÅÂ±×),´ö¼ö±Ã(ÀÏº»¾îÅÂ±×),°æº¹±Ã °ü±¤°´ ¼ö(À¯·á+¹«·á),Ã¢´ö±Ã °ü±¤°´ ¼ö(À¯·á+¹«·á),´ö¼ö±Ã °ü±¤°´ ¼ö(À¯·á+¹«·á),Ã¢°æ±Ã °ü±¤°´ ¼ö(À¯·á+¹«·á)
26.3,100.51,1069314,265302,90527,102114,112969,,,2,,,,0,,,,,,,,0,,,,391333,127397,125190,93581
22.4,100.36,1206764,387816,54612,100310,109837,,,0,,,,3,,,,,,,,0,,,,533096,136748,127942,58115
15.5,100.33,1383704,403641,113075,189933,144902,,,13,,,,21,,,,,,,,0,,,,606848,239879,166512,117011
8.9,100.18,1150074,219760,61218,126038,117633,,,8,,,,10,,,,,,,,0,,,,407760,170883,137431,64324
1.6,100.55,1116450,148961,27172,59738,68749,,,1,,,,8,,,,,,,,0,,,,319340,93080,83946,28955
-3.2,100.63,1077431,144022,22043,49472,54352,,,0,,,,5,,,,,,,,1,,,,337843,74092,66557,23739
0.2,101.03,1126250,161100,31323,62740,56554,,,0,,,,23,,,,,,,,0,,,,367261,90041,72833,32949
7,100.71,1389399,167966,104094,77620,69020,,,16,,,,39,,,,,,,,0,,,,390197,120686,85152,107404
14.1,100.88,1469674,340944,97302,186302,118061,,,19,,,,92,,,,,,,,0,,,,662745,238626,147000,104319
19.6,100.92,1492680,378455,153328,181421,161461,,,19,,,,73,,,,,,,,0,,,,681953,234193,185926,158847
23.6,100.87,1554413,263435,45270,95232,122701,,,8,,,,43,,,,,,,,0,,,,539536,139560,149699,48634
26.2,100.76,1703495,220865,54844,56511,106114,,,11,,,,46,,,,,,,,0,,,,573582,98327,133680,58775
28,101.15,1664303,225335,57004,59729,105984,,,18,,,,36,,,,,,,,0,,,,508450,100458,130380,60274
23.1,101.72,1523928,360920,78110,140097,172717,,,22,,,,113,,,,,,,,0,,,,572277,183779,198560,83606
16.1,101.86,1587797,512873,121351,182621,150871,,,25,,,,144,,,,,,,,0,,,,749783,249292,180420,126819
6.8,101.73,1309055,194951,60322,143481,101022,,,22,,,,65,,,,,,,,0,,,,343064,199341,126284,65927
1.2,101.89,1343398,151317,20397,52082,52797,,,4,,,,16,,,,,,,,0,,,,293427,91641,73296,23844
-1.8,102.77,1220695,165237,24650,56789,69402,,,7,,,,39,,,,,,,,,,,,316862,94968,88794,27584
-0.2,103,1252080,155014,22077,50218,67840,,,0,,,,28,,,,,,,,,,,,294471,77581,90852,24188
6.3,103.07,1233640,165143,37464,72277,68205,,,0,,,,76,,,,,,,,,,,,265204,110247,99394,41399
13.9,102.98,1075899,351637,118778,168988,120740,,,0,,,,122,,,,,,,,,,,,476448,217038,157206,129866
19.5,103.12,977889,355030,96047,146783,144608,,,0,,,,108,,,,,,,,,,,,438351,180673,169248,99615
23.3,102.97,991802,175296,53251,80358,87020,,,47,,,,63,,,,,,,,,,,,256415,107520,108058,56599
26.9,103.28,1008671,184033,49725,52737,65982,,,21,,,,50,,,,,,,,,,,,253406,81340,88089,53602
25.9,103.89,1103506,236717,40567,65016,76731,,,15,,,,73,,,,,,,,,,,,297838,94958,99236,45509
22.1,103.78,1078653,308138,43801,99431,133620,,,7,,,,96,,,,,,,,,,,,376280,135988,157198,48314
16.4,103.52,1165638,850481,192578,347108,493927,,,27,,,,174,,,,,,,,,,,,1002216,416985,541405,207742
5.6,102.86,1093217,225334,67841,155092,121730,,,37,,,,47,,,,,,,,,,,,290911,200990,151237,73148
-1.9,103.16,1134068,164611,25287,55675,72244,,,13,,,,34,,,,,,,,,,,,236590,84746,99087,28406
-4,103.57,956036,124211,18188,40648,64456,,,12,,,,34,,,,,,,,0,,,,164895,60435,84613,20296
-1.6,104.32,1045415,197756,45001,68181,71009,,,11,,,,45,,,,,,,,0,,,,278529,98303,100201,49783
8.1,104.31,1366100,220494,42008,70020,100321,,,70,,,,54,,,,,,,,0,,,,297742,115178,129714,48122
13,104.55,1331709,341280,81847,133555,110981,,,120,,,,94,,,,,,,,1,,,,438924,201295,144327,93613
18.2,104.56,1238021,407217,97549,128136,161723,,,124,,,,115,,,,,,,,0,,,,476485,191692,190801,104286
23.1,104.19,1282093,279530,49852,68627,96296,,,88,,,,107,,,,,,,,1,,,,369506,112765,124097,55781
27.8,104.15,1254833,200582,22117,33991,62863,,,32,,,,59,,,,,,,,0,,,,281104,71648,85648,27453
28.8,105.04,1391727,198930,21776,36869,69297,,,24,,,,41,,,,,,,,0,,,,273252,75085,92749,27243
21.5,105.7,1278604,528333,126902,164660,184077,,,313,,,,153,,,,,,,,0,,,,642642,223127,210607,135980
13.1,105.33,1527832,434708,93826,162503,179495,,,357,,,,188,,,,,,,,2,,,,541941,243628,218180,102411
7.8,104.77,1350390,290439,70895,129743,141650,,,310,,,,55,,,,,,,,0,,,,386239,197441,179367,78129
-0.6,104.49,1324119,201767,20647,38884,129213,,,158,,,,31,,,,,,,,0,,,,296312,74095,156030,24349
-0.9,104.54,1104803,169113,32591,38405,109930,,,123,,,,34,,,,,,,,0,,,,223487,63728,130532,35781
1,105.07,1201802,263784,68948,78028,123757,,,172,,,,62,,,,,,,,1,,,,373630,107092,147380,73616
7.1,104.86,1535641,233317,54559,74191,143929,,,172,,,,55,,,,,,,,3,,,,362326,117803,173993,60751
12.1,105.26,1635066,387075,100571,130386,199321,,,196,,,,125,,,,,,,,0,,,,550978,201595,242328,113637
19.4,105.31,1485684,449268,94260,143546,246336,,,111,,,,105,,,,,,,,1,,,,574014,195085,278340,101992
22.5,105.17,1476218,321317,52225,83135,170424,,,58,,,,92,,,,,,,,1,,,,439895,123000,197150,58749
25.9,104.91,1448067,264643,30092,48693,104458,,,34,,,,30,,,,,,,,1,,,,361212,84688,129439,36718
27.2,105.21,1586299,260658,55413,70899,149905,,,143,,,,47,,,,,,,,2,,,,444979,123025,184261,67483
22.6,105.57,1459664,494024,88586,159379,181790,,,258,,,,146,,,,,,,,27,,,,669361,211817,210713,99032
16.4,105.8,1656195,464290,92701,195038,280107,,,49,,,,151,,,,,,,,209,,,,582843,258410,321688,103580
7.6,105.24,1456429,327614,85831,162858,222529,,,192,,,,70,,,,,,,,324,,,,424375,214458,259379,93901
1.4,105.44,1456888,239734,24830,53852,112314,,,51,,,,52,,,,,,,,103,,,,339646,84357,138393,29084
,,,163023,41603,71929,108594,,,112,,,,55,,,,,,,,121,,,,387984,99135,139059,46120
,,,81330,12901,17180,48028,,,119,,,,22,,,,,,,,52,,,,101969,30808,58728,15061
,,,32030,26930,29231,65880,,,125,,,,95,,,,,,,,95,,,,33461,30575,66943,27323
,,,48450,41109,48475,104135,,,313,,,,143,,,,,,,,93,,,,48933,49349,104852,41460
,,,54327,37878,48186,103607,,,163,,,,98,,,,,,,,83,,,,54774,48940,104289,38111
,,,,,,,,,84,,,,57,,,,,,,,50,,,,,,,
,,,,,,,,,177,,,,35,,,,,,,,46,,,,,,,
,,,,,,,,,0,,,,0,,,,,,,,5,,,,,,,
,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,
,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,
,,,,,,,,,1,,,,0,,,,,,,,0,,,,,,,
,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,
